location,male,age0_24,age25_34,age35_44,age45_54,age55_64,age65plus,heartDisease,lungCancer,diabetes,stroke,copd,pct_urban
AL,0.4848016486,0.317,0.13,0.121,0.128,0.133,0.17,2203.2,1037.1,970.9,1081.8,1225.6,0.59
AK,0.5192307692,0.342,0.16,0.132,0.121,0.126,0.119,1333,765.6,733.8,681.5,804.2,0.66
AZ,0.4972347914,0.326,0.137,0.123,0.119,0.121,0.176,1306.1,574.1,799.2,579.6,866.2,0.898
AR,0.4900560938,0.329,0.13,0.122,0.123,0.127,0.168,2381.7,1054.4,897.8,982.9,1195.7,0.562
CA,0.4923857868,0.323,0.153,0.133,0.128,0.121,0.143,1201.2,463.3,669.4,592.7,648,0.95
CO,0.5029821074,0.316,0.156,0.137,0.125,0.125,0.142,1052.9,468.3,516.3,564.2,866.3,0.862
CT,0.4871794872,0.303,0.125,0.119,0.138,0.144,0.172,1152.9,612.5,679.3,,720,0.88
DE,0.4837377388,0.298,0.132,0.116,0.127,0.141,0.187,1511.4,814.7,856.8,648.8,869,0.833
District of Columbia,0.4758909853,0.288,0.233,0.15,0.108,0.099,0.122,1699.3,737.6,735.2,696.6,516,1
FL,0.4884910486,0.281,0.13,0.121,0.129,0.134,0.205,1397.1,720.9,814.1,644,903.3,0.912
GA,0.4866529774,0.336,0.137,0.133,0.133,0.121,0.138,1689.9,775.5,873.2,880.8,995.3,0.751
HI,0.5002498751,0.3,0.142,0.128,0.121,0.127,0.184,1101.8,531.9,642.6,630.8,478.4,0.919
ID,0.5029821074,0.348,0.13,0.125,0.115,0.123,0.159,1277.1,591.9,721.7,640.2,913.9,0.706
IL,0.4918699187,0.318,0.139,0.129,0.128,0.131,0.156,1483,725.4,736.2,672.7,795.2,0.885
IN,0.4926433283,0.332,0.131,0.124,0.126,0.131,0.157,1803.5,911.9,901.5,782.4,1191.9,0.724
IA,0.4957135653,0.334,0.125,0.122,0.117,0.133,0.17,1488.5,741.3,704.6,607.5,903.4,0.64
KS,0.4979919679,0.343,0.129,0.123,0.117,0.128,0.159,1524.3,764.9,775.1,726.6,999.4,0.742
